income,sex,eth,focc,fedu,mocc,medu,weights
3110.480433,2,1,8,11,10,0,304.6712
3014.369533,2,1,9,9,10,8,346.84137
2753.922333,1,1,10,1,10,0,21.188648
2816.361033,2,1,10,11,10,9,1206.0104
6072.091933,2,1,10,1,9,6,188.64613
2352.530933,2,1,10,11,10,9,466.95523
12530.03573,2,1,10,1,10,0,953.29132
2388.210133,1,1,10,1,10,0,152.13899
23590.59973,1,3,9,1,10,5,17.509657
3758.888133,1,1,10,1,10,0,248.1955
11102.86573,1,3,10,5,10,7,82.325195
2238.039733,1,1,10,1,10,0,247.15779
8890.752133,2,3,8,3,9,7,29.679276
3949.176933,2,1,10,9,10,6,91.202629
18785.97473,1,1,10,1,10,0,169.67346
3967.016533,2,1,8,8,10,12,181.18376
4488.494833,1,1,10,1,10,0,275.44116
5523.523633,1,1,10,9,10,8,247.50757
2004.658133,1,1,10,1,10,0,3334.697
3342.629833,1,1,10,1,10,5,591.64075
17792.72273,2,1,10,4,10,0,931.80444
6428.884433,2,1,10,9,10,0,88.829185
2557.686433,1,1,9,1,10,0,274.45026
3075.035533,1,1,10,1,10,10,424.08002
1951.295433,1,1,10,1,10,0,170.77496
22074.23273,1,1,10,1,2,0,216.91589
2397.129833,1,1,8,1,10,8,59.658718
2361.450633,2,1,8,1,10,0,462.01282
2629.045133,2,1,10,7,10,4,351.36838
6785.676933,2,1,7,10,8,12,84.071068
1050.238433,1,1,10,1,9,0,266.47784
9782.733533,2,1,10,1,9,12,691.23193
2183.054333,2,1,10,1,10,6,2407.4058
7228.563133,2,1,8,4,10,11,359.40012
1630.026133,1,1,10,1,10,5,91.966263
1380.271533,2,1,9,1,9,0,810.81622
952.1205326,1,1,9,6,10,0,95.213257
12378.39873,1,4,8,11,10,10,160.04724
8426.922033,1,1,8,8,10,0,152.12257
3931.337333,2,1,10,1,10,0,146.34535
4835.483033,1,3,9,1,9,2,119.80076
3506.897133,2,1,10,1,10,0,586.10779
1235.769733,1,1,10,8,10,0,1272.5304
12984.94573,1,1,10,1,10,12,283.83444
3699.422333,1,1,7,1,10,0,441.41824
633.0966026,1,1,10,1,10,0,533.41034
5412.026033,1,1,7,1,10,0,2017.729
4145.412733,1,1,10,8,10,0,97.792923
5850.504533,1,1,8,1,9,0,126.42606
28823.70873,1,1,10,1,9,4,81.355804
7053.271133,1,1,10,12,2,12,1837.1536
2896.639333,1,1,10,1,10,0,117.55093
13154.42173,1,1,10,1,10,0,852.19769
3494.266733,2,1,10,1,10,0,582.09406
4099.629533,2,1,9,1,10,0,393.9455
2261.549733,1,1,10,1,10,0,334.51929
4858.997733,1,1,5,9,10,8,645.54785
1942.219533,1,1,10,1,10,6,542.86774
5447.441133,1,1,8,5,9,4,452.60623
1603.266733,1,3,9,1,9,0,208.35278
2004.658133,2,1,7,10,9,10,2150.9082
1166.195933,1,1,10,11,9,0,101.37829
8819.393733,1,1,4,1,9,0,45.099846
1912.835333,1,1,10,1,10,6,948.28381
5376.346833,2,3,3,1,10,7,48.775585
2049.257233,2,1,9,6,10,6,2616.4102
1612.186533,2,1,10,6,10,8,142.91388
3612.698133,1,1,10,1,10,0,252.43672
3164.233533,2,1,10,1,10,0,635.22937
6196.969433,1,2,10,10,10,12,1419.0798
2746.877833,1,1,9,1,9,0,54.791142
11950.24773,2,1,10,1,10,5,2287.3352
6375.365433,1,1,10,1,9,7,227.88354
4708.255033,1,1,9,3,9,0,341.20697
2967.997733,1,3,10,1,10,0,1950.8822
2227.653533,1,1,10,4,10,10,43.49226
14046.40273,2,2,7,9,10,12,107.68687
2004.658133,1,1,9,1,7,0,2150.9082
1291.073433,1,1,10,11,9,11,322.16843
6598.361033,1,1,9,5,9,8,609.42999
9693.535333,1,1,10,1,10,0,47.500423
14670.87373,1,4,8,12,2,10,435.51831
1166.195933,1,1,10,8,10,0,882.2652
1857.450033,2,1,10,1,10,0,88.265144
2482.595833,2,1,8,5,3,10,379.3844
3372.925433,1,1,10,1,10,11,45.19796
1201.875333,2,1,10,1,10,0,588.69604
11869.57973,1,1,9,7,10,8,31.133011
4092.752633,1,1,5,1,10,0,89.46328
4609.242833,1,1,10,11,9,0,154.35168
845.0828126,1,1,9,5,10,0,652.77649
12480.07973,2,1,9,1,10,0,240.25029
3610.224333,2,1,8,1,9,0,273.36713
9274.303833,1,1,10,1,10,1,30.322721
