outcome,income,sex,eth,focc,fedu,mocc,medu,weights
3,3110.48043262842,2,1,8,11,10,0,304.6712
3,3014.36953262842,2,1,9,9,10,8,346.84137
3,2753.92233262842,1,1,10,1,10,0,21.188648
3,2816.36103262842,2,1,10,11,10,9,1206.0104
3,6072.09193262842,2,1,10,1,9,6,188.64613
3,2352.53093262842,2,1,10,11,10,9,466.95523
3,12530.03573262842,2,1,10,1,10,0,953.29132
3,2388.21013262842,1,1,10,1,10,0,152.13899
4,23590.59973262842,1,3,9,1,10,5,17.509657
3,3758.88813262842,1,1,10,1,10,0,248.1955
3,11102.86573262842,1,3,10,5,10,7,82.325195
3,2238.03973262842,1,1,10,1,10,0,247.15779
3,8890.75213262842,2,3,8,3,9,7,29.679276
3,3949.17693262842,2,1,10,9,10,6,91.202629
4,18785.97473262842,1,1,10,1,10,0,169.67346
3,3967.01653262842,2,1,8,8,10,12,181.18376
3,4488.49483262842,1,1,10,1,10,0,275.44116
3,5523.52363262842,1,1,10,9,10,8,247.50757
3,2004.65813262842,1,1,10,1,10,0,3334.697
3,3342.62983262842,1,1,10,1,10,5,591.64075
4,17792.72273262842,2,1,10,4,10,0,931.80444
3,6428.88443262842,2,1,10,9,10,0,88.829185
3,2557.68643262842,1,1,9,1,10,0,274.45026
3,3075.03553262842,1,1,10,1,10,10,424.08002
2,1951.29543262842,1,1,10,1,10,0,170.77496
4,22074.23273262842,1,1,10,1,2,0,216.91589
3,2397.12983262842,1,1,8,1,10,8,59.658718
3,2361.45063262842,2,1,8,1,10,0,462.01282
3,2629.04513262842,2,1,10,7,10,4,351.36838
3,6785.67693262842,2,1,7,10,8,12,84.071068
2,1050.23843262842,1,1,10,1,9,0,266.47784
3,9782.73353262842,2,1,10,1,9,12,691.23193
3,2183.05433262842,2,1,10,1,10,6,2407.4058
3,7228.56313262842,2,1,8,4,10,11,359.40012
2,1630.02613262842,1,1,10,1,10,5,91.966263
2,1380.27153262842,2,1,9,1,9,0,810.81622
1,952.12053262842,1,1,9,6,10,0,95.213257
3,12378.39873262842,1,4,8,11,10,10,160.04724
3,8426.92203262842,1,1,8,8,10,0,152.12257
3,3931.33733262842,2,1,10,1,10,0,146.34535
3,4835.48303262842,1,3,9,1,9,2,119.80076
3,3506.89713262842,2,1,10,1,10,0,586.10779
2,1235.76973262842,1,1,10,8,10,0,1272.5304
3,12984.94573262842,1,1,10,1,10,12,283.83444
3,3699.42233262842,1,1,7,1,10,0,441.41824
1,633.09660262842,1,1,10,1,10,0,533.41034
3,5412.02603262842,1,1,7,1,10,0,2017.729
3,4145.41273262842,1,1,10,8,10,0,97.792923
3,5850.50453262842,1,1,8,1,9,0,126.42606
4,28823.70873262842,1,1,10,1,9,4,81.355804
