name,iso,y,latest,region_wb,incgr,Region,var,Gini,MLD,Sample,Gini_trees_exante,MLD_trees_exante,Gini_trees_exante_rel,MLD_trees_exante_rel,Gini_rforest_exante,MLD_rforest_exante,Gini_rforest_exante_rel,MLD_rforest_exante_rel,Gini_trees_expost,MLD_trees_expost,Gini_trees_expost_rel,MLD_trees_expost_rel
Argentina,ARG,2014,1,Latin America & Caribbean,Upper middle income,LATAM,Income,0.3884,0.2759,6632,0.167,0.0438,42.9969104,15.87531714,0.1786,0.0499,45.98352214,18.08626314,0.1773,0.0506,45.64881565,18.33997825
Armenia,ARM,2016,1,Europe & Central Asia,Upper middle income,Asia + Oceania,Income,0.4695,0.4059,1221,0.1783,0.0593,37.97657082,14.60950973,0.2121,0.0813,45.17571885,20.02956393,0.2343,0.3464,49.90415335,85.34121705
Australia,AUS,2005,0,East Asia & Pacific,High income,Asia + Oceania,Income,0.3367,0.1941,5684,0.0773,0.0098,22.95812296,5.048943843,0.0894,0.0125,26.55182655,6.439979392,0.0547,0.0057,16.24591625,2.936630603
Australia,AUS,2007,0,East Asia & Pacific,High income,Asia + Oceania,Income,0.3439,0.2042,5778,0.0787,0.0101,22.88455946,4.946131244,0.0951,0.0141,27.65338761,6.904995103,0.0643,0.0099,18.69729573,4.848188051
Australia,AUS,2009,0,East Asia & Pacific,High income,Asia + Oceania,Income,0.3255,0.1874,6137,0.0563,0.0055,17.29646697,2.934898613,0.0807,0.0102,24.79262673,5.442902882,0.0844,0.0281,25.92933948,14.99466382
Australia,AUS,2011,0,East Asia & Pacific,High income,Asia + Oceania,Income,0.3311,0.1902,8184,0.0733,0.0087,22.13832679,4.574132492,0.0873,0.0118,26.3666566,6.203995794,0.0651,0.0073,19.66173362,3.838065195
Australia,AUS,2013,0,East Asia & Pacific,High income,Asia + Oceania,Income,0.3309,0.1903,8398,0.0584,0.0065,17.64883651,3.415659485,0.0795,0.01,24.02538531,5.254860746,0.0684,0.0087,20.67089755,4.571728849
Australia,AUS,2015,0,East Asia & Pacific,High income,Asia + Oceania,Income,0.3346,0.1923,8625,0.0717,0.0091,21.42857143,4.732189288,0.0884,0.0123,26.4196055,6.39625585,0.073,0.0084,21.81709504,4.368174727
Australia,AUS,2017,0,East Asia & Pacific,High income,Asia + Oceania,Income,0.3457,0.2074,8830,0.0709,0.0089,20.50911195,4.291224687,0.0912,0.0131,26.38125542,6.316297011,0.0875,0.0238,25.31096326,11.47540984
Australia,AUS,2019,1,East Asia & Pacific,High income,Asia + Oceania,Income,0.3531,0.2168,8934,0.0806,0.0105,22.82639479,4.843173432,0.0942,0.0136,26.6779949,6.273062731,0.0814,0.013,23.0529595,5.996309963
Austria,AUT,2005,0,Europe & Central Asia,High income,Europe,Income,0.2724,0.134,5424,0.089,0.0148,32.67254038,11.04477612,0.0995,0.0165,36.52716593,12.31343284,0.0965,0.0166,35.42584435,12.3880597
Austria,AUT,2011,0,Europe & Central Asia,High income,Europe,Income,0.2757,0.1397,6446,0.0881,0.0137,31.95502358,9.806728704,0.0914,0.0142,33.15197679,10.16463851,0.089,0.0148,32.28146536,10.59413028
Austria,AUT,2019,1,Europe & Central Asia,High income,Europe,Income,0.2804,0.1555,5726,0.0957,0.0167,34.12981455,10.73954984,0.0988,0.016,35.23537803,10.28938907,0.0908,0.0157,32.38231098,10.09646302
Belgium,BEL,2005,0,Europe & Central Asia,High income,Europe,Income,0.2604,0.1222,2386,0.1067,0.0201,40.97542243,16.44844517,0.1119,0.0206,42.97235023,16.85761047,0.0916,0.0168,35.17665131,13.74795417
Belgium,BEL,2011,0,Europe & Central Asia,High income,Europe,Income,0.2562,0.1253,4846,0.0892,0.0164,34.81654957,13.08858739,0.1056,0.0203,41.21779859,16.20111732,0.1388,0.0354,54.17642467,28.25219473
Belgium,BEL,2019,1,Europe & Central Asia,High income,Europe,Income,0.2428,0.1064,7055,0.0966,0.0179,39.78583196,16.82330827,0.1041,0.0191,42.87479407,17.95112782,0.1071,0.0214,44.11037891,20.11278195
Benin,BEN,2018,1,Sub-Saharan Africa,Lower middle income,Africa,Consumption,0.3483,0.1988,14338,0.14,0.0361,40.19523399,18.15895372,0.1296,0.032,37.20930233,16.09657948,0.1325,0.0331,38.04191789,16.6498994
Burkina Faso,BFA,2018,1,Sub-Saharan Africa,Low income,Africa,Consumption,0.3792,0.2351,12925,0.1232,0.0424,32.48945148,18.03487877,0.0934,0.0247,24.63080169,10.50616759,0.0991,0.0235,26.13396624,9.995746491
Bulgaria,BGR,2011,0,Europe & Central Asia,Upper middle income,Europe,Income,0.328,0.1959,6633,0.1473,0.0356,44.90853659,18.17253701,0.1468,0.0339,44.75609756,17.30474732,0.1573,0.0405,47.95731707,20.67381317
Bulgaria,BGR,2019,1,Europe & Central Asia,Upper middle income,Europe,Income,0.4065,0.2964,7025,0.222,0.0806,54.61254613,27.19298246,0.198,0.0619,48.70848708,20.88394062,0.19,0.0583,46.7404674,19.66936572
Bolivia,BOL,2008,1,Latin America & Caribbean,Lower middle income,LATAM,Income,0.4999,0.5048,4197,0.2781,0.1311,55.63112623,25.97068146,0.2938,0.1442,58.77175435,28.56576862,0.3405,0.2375,68.11362272,47.04833597
Brazil,BRA,2014,1,Latin America & Caribbean,Upper middle income,LATAM,Income,0.4875,0.4266,41031,0.3218,0.1652,66.01025641,38.72480075,0.3203,0.1626,65.7025641,38.11533052,0.3393,0.1913,69.6,44.84294421
Switzerland,CHE,2011,0,Europe & Central Asia,High income,Europe,Income,0.2803,0.137,6512,0.0836,0.0119,29.8251873,8.686131387,0.0934,0.0143,33.32144131,10.4379562,0.0744,0.009,26.54298965,6.569343066
Switzerland,CHE,2019,1,Europe & Central Asia,High income,Europe,Income,0.2832,0.1454,5782,0.0843,0.0111,29.76694915,7.634112792,0.0933,0.0147,32.94491525,10.11004127,0.0735,0.0094,25.95338983,6.464924347
Chile,CHL,2006,0,Latin America & Caribbean,High income,LATAM,Income,0.5184,0.4725,97558,0.2686,0.1141,51.8132716,24.14814815,0.2699,0.115,52.06404321,24.33862434,0.3288,0.215,63.42592593,45.5026455
Chile,CHL,2011,0,Latin America & Caribbean,High income,LATAM,Income,0.5142,0.4641,64756,0.2844,0.1274,55.3092182,27.45098039,0.2713,0.1155,52.76157137,24.88687783,0.305,0.1737,59.31544146,37.4272786
